10144463,01
10149220,02
10036956,01
10036951,23
10036950,23
10036953,22
10016690,02
10016691,12
10016699,23
10136108,22
10136107,11
10151505,31
10136102,01
10152674,24
10052485,24
10052487,02
10148171,24
10148175,22
10080139,12
10080136,22
10080134,21
10080135,01
10007051,12
10007052,12
10007054,24
10118666,23
10007056,24
10032121,04
10053281,02
10002712,02
10002716,23
10002717,14
10073005,02
10073007,12
10073000,13
10124648,21
10073003,11
10105240,32
10095594,02
10044279,11
10044271,22
10130196,02
10130197,11
10130193,04
10081264,12
10039662,22
10039666,03
10039667,32
10020959,22
10020955,22
10031473,02
10031470,01
10059131,02
10104198,23
10072753,22
10104191,21
10072759,22
10001068,04
10001063,33
10036177,22
10036174,12
10050168,23
10107086,12
10136929,23
10136923,03
10136922,02
10030784,22
10030782,23
10030780,23
10135475,11
10062264,13
10123126,23
10074346,14
10074347,02
10074344,12
10074343,02
10049949,13
10102752,13
10102751,22
10102755,03
10088522,23
10088527,11
10088526,23
10132122,11
10025474,23
10025473,11
10026925,24
10114742,22
10114740,31
10104973,13
10020182,22
10128011,21
10003031,24
10003035,23
10077066,12
10077064,01
10077060,21
10077061,03
10101223,02
10025299,32
10101226,02
10025292,21
10025291,14
10025295,23
10045919,02
10045915,21
10045914,01
10045911,22
10055666,33
10099971,22
10099974,23
10099975,02
10140951,13
10049126,21
10049125,32
10049120,23
10078228,01
10030737,23
10023299,01
10023295,12
10023292,21
10023293,21
10087163,02
10092805,23
10092806,01
10071444,02
10028179,22
10152597,21
10109479,13
10109475,01
10109472,22
10070712,02
10070715,03
10070716,23
10115869,21
10115861,02
10115867,04
10097973,02
10097970,02
10068145,02
10062162,01
10091724,21
10091727,02
10121839,14
10151452,21
10121832,12
10099117,02
10099113,01
10124643,02
10113830,02
10113834,13
10113835,02
10113837,01
10113839,24
10051897,12
10051894,02
10051891,02
10051890,03
10130628,21
10122332,23
10098648,21
10111096,22
10098643,13
10098642,02
10098647,11
10065678,24
10065670,12
10086218,01
10066326,02
10066322,13
10019288,02
10019287,12
10019285,02
10127865,33
10138438,14
10127863,22
10079491,02
10079490,21
10064789,22
10064788,03
10064785,11
10064784,21
10125644,12
10016954,21
10019429,31
10019420,04
10011637,02
10011634,02
10011632,02
10058572,01
10050385,23
10050386,23
10085544,21
10018894,13
10085547,23
10050389,12
10082017,21
10082013,21
10082012,02
10112621,02
10018895,13
10037966,04
10037964,02
10037961,03
10037960,23
10062957,23
10062950,33
10037968,23
10004030,22
10004037,22
10004034,22
10004039,13
10041466,21
10050962,23
10050963,02
10050965,13
10050966,12
10128191,23
10052524,02
10052523,23
10052521,03
10120762,23
10052528,13
10034260,22
10034269,23
10006686,23
10006687,12
10139995,03
10127086,02
10005347,14
10005345,12
10042346,23
10042345,23
10046110,01
10046115,23
10042349,33
10008044,22
10008041,23
10089100,02
10089107,22
10089109,04
10014949,23
10014942,13
10014941,02
10014947,12
10014945,02
10149323,03
10086487,24
10131947,04
10131943,23
10041842,22
10126354,12
10126357,23
10002696,11
10002691,21
10043694,13
10126359,23
10043690,12
10043691,22
10037105,02
10037107,04
10037100,23
10009310,22
10009312,23
10037109,23
10148452,01
10148450,13
10008968,23
10148459,14
10130013,21
10059137,22
10107321,22
10107329,14
10107328,02
10139534,02
10139536,01
10105781,02
10105785,22
10152392,23
10041875,02
10131570,23
10075770,23
10075773,02
10075775,02
10075777,14
10149504,13
10039363,22
10039362,04
10039360,22
10039367,02
10039366,24
10026688,03
10026680,21
10026681,01
10026682,32
10026685,23
10026686,22
10020265,23
10072276,02
10072277,12
10072273,13
10104430,02
10104434,22
10104435,12
10104437,02
10104439,21
10020263,04
10116464,23
10116465,22
10116467,24
10116469,31
10135530,24
10118506,23
10118501,02
10024263,12
10024266,02
10056032,21
10056039,23
10038015,12
10027552,23
10022697,01
10022695,12
10022694,32
10022698,12
10061175,31
10061174,12
10100422,22
10069788,02
10130831,21
10132084,22
10132085,02
10044965,13
10044966,02
10146847,33
10146846,02
10146844,02
10148867,24
10148864,02
10148862,22
10051566,33
10051560,03
10051568,02
10020028,23
10020029,02
10020020,13
10020021,13
10020025,12
10096537,01
10077385,01
10083515,22
10083517,03
10113704,24
10048197,21
10048198,22
10149737,03
10089016,23
10083399,23
10015543,13
10015545,23
10015546,01
